source	storage_key	src_path	original_zotero_name	flat_name	sha256
storage	3RQLGG82	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/storage/3RQLGG82/Lane - 2019 - Staid Reatha an Mheaisínaistriúcháin Gaeilge.pdf	Lane - 2019 - Staid Reatha an Mheaisínaistriúcháin Gaeilge.pdf	Lane - 2019 - Staid Reatha an Mheaisínaistriúcháin Gaeilge.pdf	af6422978301
storage	4F4QVWBB	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/storage/4F4QVWBB/Li et al. - 2021 - MTOP A Comprehensive Multilingual Task-Oriented Semantic Parsing Benchmark.pdf	Li et al. - 2021 - MTOP A Comprehensive Multilingual Task-Oriented Semantic Parsing Benchmark.pdf	Li et al. - 2021 - MTOP A Comprehensive Multilingual Task-Oriented Semantic Parsing Benchmark.pdf	42c8c78c9def
storage	5NYSC84U	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/storage/5NYSC84U/Blecher et al. - 2023 - Nougat Neural Optical Understanding for Academic Documents.pdf	Blecher et al. - 2023 - Nougat Neural Optical Understanding for Academic Documents.pdf	Blecher et al. - 2023 - Nougat Neural Optical Understanding for Academic Documents.pdf	679be336ce80
storage	6N2UNPLK	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/storage/6N2UNPLK/2402.pdf	2402.pdf	2402__dup0.pdf	6cc20b3c5b8d
storage	6P7X74DV	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/storage/6P7X74DV/Barry et al. - 2022 - gaBERT -- an Irish Language Model.pdf	Barry et al. - 2022 - gaBERT -- an Irish Language Model.pdf	Barry et al. - 2022 - gaBERT -- an Irish Language Model.pdf	c62a0c8db0a9
storage	77PWGS8N	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/storage/77PWGS8N/Wei et al. - 2024 - General OCR Theory Towards OCR-2.0 via a Unified End-to-end Model.pdf	Wei et al. - 2024 - General OCR Theory Towards OCR-2.0 via a Unified End-to-end Model.pdf	Wei et al. - 2024 - General OCR Theory Towards OCR-2.0 via a Unified End-to-end Model.pdf	89b5b6f0116b
storage	7N9RTGUU	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/storage/7N9RTGUU/Beutel et al. - 2022 - Flower A Friendly Federated Learning Research Fra.pdf	Beutel et al. - 2022 - Flower A Friendly Federated Learning Research Fra.pdf	Beutel et al. - 2022 - Flower A Friendly Federated Learning Research Fra.pdf	847fb48d2392
storage	7RAHHY7X	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/storage/7RAHHY7X/Clifford et al. - Gaeilge Bhriste ó Shamhlacha Cliste How Clever Are LLMs When Translating Irish Text.pdf	Clifford et al. - Gaeilge Bhriste ó Shamhlacha Cliste How Clever Are LLMs When Translating Irish Text.pdf	Clifford et al. - Gaeilge Bhriste ó Shamhlacha Cliste How Clever Are LLMs When Translating Irish Text__dup1.pdf	54cd4d4b2cfe
storage	7RXRBAMD	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/storage/7RXRBAMD/Bhatia et al. - 2024 - Qalam  A Multimodal LLM for Arabic Optical Charac.pdf	Bhatia et al. - 2024 - Qalam  A Multimodal LLM for Arabic Optical Charac.pdf	Bhatia et al. - 2024 - Qalam  A Multimodal LLM for Arabic Optical Charac.pdf	dd85903d4440
storage	89VIA6R3	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/storage/89VIA6R3/Loingsigh and Raghallaigh - Starting from Scratch – The Creation of an Irish-language Idiom Database.pdf	Loingsigh and Raghallaigh - Starting from Scratch – The Creation of an Irish-language Idiom Database.pdf	Loingsigh and Raghallaigh - Starting from Scratch – The Creation of an Irish-language Idiom Database.pdf	77b1482b7271
